Introduction: Loss of life or property in Belize from 1630 to present.
						


Clusters: Table 1
ALT ID	ID	NO	NAME	BEG	END	FT	FT	DESCRIPTION	PRESS	CF	VIA	NOTE	
S 39	39	1	P	Bristow Rep	xxx		1	vols	Report Of Joseph L. Bristow Special Panama Railroad Commissioner To The Secretary Of War				Washington	USA	1905							Gale / World Scholar		https://worldscholar.gale.com/region/latin-america/MonographsDetailsPage/MonographsDetailsWindow?disableHighlighting=false&displayGroupName=DVI-Monographs&docIndex=1&prodId=LAC&mode=view&limiter=&display-query=TX+Report+Of+Joseph+L.+Bristow+Special+Panama+Railroad+Commissioner+To+The+Secretary+Of+War.+1905&contentModules=&action=e&sortBy=&windowstate=normal&currPage=1&dviSelectedPage=&scanId=&query=TX+Report+Joseph+L.+Bristow+Special+Panama+Railroad+Commissioner+Secretary+War.+1905&search_within_results=&p=LACD&catId=&displayGroups=&documentId=GALE%7CSA5299194852&activityType=BasicSearch&failOverType=&commentary=&source=Bookmark&u=camb55135&jsid=ae0cdd8d308047d5a8955c6b8b44f227# 	
S 41	41	1	P	BTPJ	1704	1782	14	vols	"Board of Trade and Plantations, Journal"				London	UK	1920	1938								https://www.british-history.ac.uk/search/series/jrnl-trade-plantations	
S 43	43	1	P	Burdon d	1587	1884	3	vols	Archives of British Honduras				London	UK	1931	1935								"Lib Service v1: file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%201,%20From%20the%20earliest%20date%20to%20A.%20D1800.pdf
Lib Service v2: file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%202,%201801-1840.pdf
Lib Service v3: file:///Users/angelnavidad/Downloads/Archives_of_British_Honduras_From_1841_1.pdf"	
S 44	44	1	P	Burke	xxx		2	vols	An Account of the European Settlements in America				London	UK	1757	1757							Printed for R. and J. Dodsley ...	"HathiTrust v1: https://hdl.handle.net/2027/nnc2.ark:/13960/t51g2s09x
HathiTrust v2: https://hdl.handle.net/2027/nnc2.ark:/13960/t5q83cw18"	
S 		1	P	Bury	xxx		1	vols	A Bishop amongst Bananas				xxx		1911		H. Bury							xxx	
S 45	45	1	MS	C 110/152	1681	1812	1	series	Commercial correspondence and accounts	National Archives	Kew	UK											Particularly Brailsford v Peers records [1681–94]		
S 		1	P	Cain	1931	1931	1	vols	"Cyclone : being an illustrated official record of the hurricane and tidal wave which destroyed the city of Belize (British Honduras) on the colony's birthday, 10th September 1931"				London	UK	1933		E. E. Cain					Burdon 3		xxx	
S 48	48	1	P	Cardenas	1526	1639	1	vols	"Relación historial eclesiástica de la provincia de Yucatán de la Nueva España, escrita el año de 1639"				Mexico	Mexico	1937							Jones 1	= BL Egerton MS 1791		
S 50	50	1	P	Castell	xxx		1	vols	"A short discoverie of the coasts and continent of America, from the equinoctiall northward, and the adjacent isles"				London	UK	1644							Oxford DNB		http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/short-discoverie-coasts-continent-america/docview/2240968812/se-2?accountid=11311	
S 51	51	1	P	Castillo	xxx		1	vols	Historia verdadera de la conquista de la Nueva España				Madrid	Spain	1632								"Abridged, translated version by D. Carrasco, The History of the Conquest of New Spain, Albuquerque 2008, Link: file:///Users/angelnavidad/Downloads/David%20Carrasco%20-%20The%20History%20of%20the%20Conquest%20of%20New%20Spain%20by%20Bernal%20Diaz%20del%20Castillo-University%20of%20New%20Mexico%20Press%20(2009).pdf"	http://bdh.bne.es/bnesearch/detalle/bdh0000012937 	
S 52	52	1	P	Catesby	xxx		2	vols	"Natural History of Carolina, Florida and the Bahama Islands"				London	UK	1731	1743							Printed by Benjamin White	xxx	
S 55	55	1	P	CDI	1251	1796	42	vols	"Colección de documentos inéditos, relativos al descubrimiento, conquista y organización de las antiguas posesiones españolas de América y Oceanía, sacados de los archivos del reino, y muy especial del de las Indias"				Madrid	Spain	1864	1884								http://id.lib.harvard.edu/alma/99154275040603941/catalog	
S 56	56	1	P	CDIE	xxx		113	vols	Colección de documentos inéditos para la historia de España				Madrid	Spain	1842	1895							112 vols [1842–95] mentioned in some literature /eg Díaz-Trechuelo Spínola 1970 Link: http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/america-en-la-coleccion-de-documentos-ineditos/docview/1300364864/se-2?accountid=11311 	http://id.lib.harvard.edu/alma/990072058750203941/catalog	
S 61	61	1	P	Charlevoix	xxx		2	vols	Histoire de l'Isle espagnole ou de S. Domingue				Paris	France	1730	1731								"Gallica v1: https://gallica.bnf.fr/ark:/12148/bpt6k6584020m
Gallica v2: https://gallica.bnf.fr/ark:/12148/bpt6k6582990r"	
S 62	62	1	P	Churchill	xxx		6	vols	A collection of voyages and travels				London	UK	xxx	1732						Finamore 72	"Mosquito Shore voyage in 1699 in v 6, 282–298"	Gale v 6: https://link.gale.com/apps/doc/CY0105640354/SABN?u=camb55135&sid=SABN&xid=7b583057&pg=1	
S 63	63	1	MS	Civil List	1786	1896	1	vols	"British Honduras Civil List, 1895–1896"	Archives and Records Service	Belmopan	Belize										Burdon 2			
S 64	64	1	P	Clayton	xxx		1	vols	"Speech of John M. Clayton, of Delaware, delivered in the Senate of the United States on the 8th of March, 1853 : in vindication of the Central American treaty concluded with Great Britain on the 19th of April, 1850"				Washington	USA	1853							Gale / Sabin Americana		https://link.gale.com/apps/doc/CY0104293458/SABN?u=camb55135&sid=SABN&xid=1d289d88&pg=14 	
S 65	65	1	MS	CO d/d	1570	1990	1073	series	"Records of the Colonial Office, Commonwealth and Foreign and Commonwealth Offices, Empire Marketing Board, and related bodies"	National Archives	Kew	UK										TNA Kew Catalogue	"Hon Blue Books in xxx cited BB y
TNA Kew Catalogue, Link: https://discovery.nationalarchives.gov.uk/ "		
S 66	66	1	P	Cockburn	xxx		1	vols	"The unfortunate Englishmen, or, A faithful narrative of the distresses and adventures of John Cockburn, and five other English mariners ... who were taken by a Spanish guarda costa in the John and Ann, Edward Burt, master, and set on shore at a place call'd Porto-Cavallo ... "				London	UK	1740									https://link.gale.com/apps/doc/CY0101299426/SABN?u=camb55135&sid=SABN&xid=cb833230	
S 67	67	1	P	Cockburn	xxx		1	vols	"A journey over land, from the Gulf of Honduras to the great South-Sea. Performed by John Cockburn, and five other Englishmen, viz. Thomas Rounce, Richard Banister, John Holland, Thomas Robinson, and John Ballman; Who were taken by a Spanish Guarda-Costa, in the John and Jane, Edward Burt Master, and set on Shoar at a Place called Forto-Cavalo, naked and wounded, as mentioned in several News-Papers of October, 1731. Containing, Variety of extraordinary Distresses and Adventures, and some New and Useful Discoveries of the Inland of those almost unknown Parts of America: As also, An exact Account of the Manners, Customs, and Behaviour of the several Indians inhabiting a Tract of Land of 2400 Miles; particularly of their Dispositions towards the Spaniards and English. To which is added, a curious piece, written in the reign of King James I. and never before printed, intitled, A brief discoverye of some things best worth noteinge in the travells of Nicholas Withington, a Factor in the East-Indiase"				London	UK	1735								"London : printed for C. Rivington, at the Bible and Crown in St. Paul's Church yard, M.DCC.XXXV. [1735"	https://link.gale.com/apps/doc/CW0102436627/ECCO?u=camb55135&sid=ECCO&xid=807437e6&pg=1	
S 		1	P	Codd	xxx		1	vols	"Proceedings of an enquiry and investigation instituted by Major General Codd, His Majesty's Superintendent and Commander-in-Chief at Belize, Honduras. Relative of Poyais."				xxx		1824		xxx					Burdon 3		xxx	
S 68	68	1	P	Cogolludo	1506	1656	1	vols	Historia de Yucathan				Madrid	Spain	1688									"Gallica: https://gallica.bnf.fr/ark:/12148/bpt6k829446
Gale/Sabin: https://link.gale.com/apps/doc/CY0102936949/SABN?u=camb55135&sid=SABN&xid=fbdf1b13"	
S 69	69	1	MS	"CONTRATACION,a"	1492	1795	6337	legajos	Casa de la Contratación	Archivo General de Indias	Seville	Spain										PARES			
S 71	71	1	P	Cook	1765	1765	1	vols	"Remarks on a passage from the River Balise, in the Bay of Honduras, to Merida; the Capital of the Province of jucatan, In the Spanish West Indies"				London	UK	1769									https://link.gale.com/apps/doc/CW0125214000/ECCO?u=camb55135&sid=ECCO&xid=5b3033ca&pg=1	
S 73	73	1	P	Coxe	1700	1788	3	vols	"Memoirs of the kings of Spain of the House of Bourbon, from the accession of Philip V. to the death of Charles III. 1700 to 1788. Drawn from the original and unpublished documents"				London	UK	1813	1813							First ed in 3 vols / Second ed 1815 in 5 vols / Sp ed 1846–47 in 4 vols Link v 1: https://www.google.com/books/edition/_/j02dtXJSvHgC?hl=en&gbpv=1	http://nrs.harvard.edu/urn-3:HUL.FIG:004500016	
S 74	74	1	S	CP d	1833	2021	xxx		Command Papers				London	UK	1833	2021						ProQuest / UK Parliamentary Papers	"Also cited C. / Cd. / Cmd. / Cmnd. / Cm.
Unnumbered papers excluded
Place of publication assumed"	https://parlipapers-proquest-com.ezp-prod1.hul.harvard.edu/parlipapers/search/basic/hcppbasicsearch?accountid=11311	
S 		1	MS	CR d	1850	1853	2	vols	Civil Records	Archives and Records Service	Belmopan	Belize										Burdon 3	"d = 1, 2"		
S 76	76	1	P	Crowe	xxx		1	vols	"The gospel in Central America; containing a sketch of the country, physical and geographical, historical and political, moral and religious: a history of the Baptist mission in British Honduras, and of the introduction of the Bible into the Spanish American republic of Guatemala"				London	UK	1850									https://www.google.com/books/edition/The_Gospel_in_Central_America/bbfvrEZZYa4C?hl=en&gbpv=1&printsec=frontcover	
S 77	77	1	P	CSPC	1574	1739	41	vols	"Calendar of State Papers, Colonial, America and West Indies"				London	UK	1860	1994								https://www-british-history-ac-uk.ezp-prod1.hul.harvard.edu/search/series/cal-state-papers--colonial--america-west-indies	
S 78	78	1	MS	"CUBA,a"	1712	1872	2971	legajos	Papeles de Cuba	Archivo General de Indias	Seville	Spain													
S 79	79	1	MS	CUST d/d	1554	2019	208	series	"Records of the Boards of Customs, Excise, and Customs and Excise, and HM Revenue and Customs"	National Archives	Kew	UK										TNA Kew Catalogue			
S 80	80	1	P	Dampier	1669	1691	2	vols	Voyages						1697	1699						Oxford DNB	"= A new voyage around the world [London : Printed for James Knapton ..., 1697], Voyages and Discoveries [1699]
First edition of Voyages and Discoveries 1699 not located"	"ProQuest/EEBO v1: http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/new-voyage-around-world-describing-particularly/docview/2240952603/se-2?accountid=11311
ProQuest/EEBO v2: http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/voyages-descriptions-three-parts-which-is-added/docview/2264207852/se-2?accountid=11311
Harvard v2: https://nrs.harvard.edu/urn-3:DOAK.RESLIB:24900314"	
S 84	84	1	P	DHY	xxx		3	vols	Documentos para la historia de Yucatán				Merida	Mexico	1936	1938						Gerhard xi	Recopilados por France V. Scholes y publicados por Carlos R. Menéndez		
S 87	87	1	P	Dunn	xxx		1	vols	"Guatimala, or the Republic of Central America, in 1827-8 : being sketches and memorandums made during a twelve-months' residence"				London	UK	1829									https://www.google.com/books/edition/Guatimala_Or_the_Republic_of_Central_Ame/y3VHAAAAYAAJ?hl=en	
S 88	88	1	P	Duro	xxx		9	vols	Armada española desde la unión de los reinos de Castilla y de León				Madrid	Spain	1895	1903							Attributed to Cesáreo Fernández Duro		
S 92	92	1	P	ECCACAC	xxx		1	vols	"Brief statement, supported by original documents, of the important grants conceded to the Eastern Coast of Central America Commercial and Agricultural Company by the State of Guatemala"				London	UK	1839							Gale / Making of the Modern World		https://link.gale.com/apps/doc/U0105696622/MOME?u=camb55135&sid=MOME&xid=7e4b2aed	
S 93	93	1	P	Edwards	xxx		2	vols	"The History, Civil and Commercial, of the British Colonies in the West Indies"				London	UK	1793	1793							Printed for John Stockdale	"Gale/ECCO v1: https://link.gale.com/apps/doc/CW0103748193/ECCO?u=camb55135&sid=ECCO&xid=ed813523
Gale/ECCO v2: https://link.gale.com/apps/doc/CW0103748733/ECCO?u=camb55135&sid=ECCO&xid=d31d617d"	
S 94	94	1	MS	Egerton MS	701	1999	3942	mss	Egerton Manuscripts	British Library	London	UK										BL Catalogue			
S 96	96	1	MS	"ESCRIBANIA,a"	1525	1778	2864	legajos	Escribanía de Cámara de Justicia	Archivo General de Indias	Seville	Spain										PARES			
S 97	97	1	MS	"EST, d"	1509	1789	8343	legajos	Secretaría de Estado	Archivo General de Simancas	Valladolid	Spain										AGS Guía del Investigador	AGS Guía del Investigador Link: file:///Users/angelnavidad/Downloads/guia-del-investigador.pdf		
S 98	98	1	MS	"ESTADO,d"	1683	1860	105	legajos	Estado	Archivo General de Indias	Seville	Spain										PARES			
S 100	100	1	P	Exquemeling	1666	1674	1	vols	De Americaensche zee-roovers				Amsterdam	Netherlands	1678									"https://link.gale.com/apps/doc/CY0103030375/SABN?u=camb55135&sid=SABN&xid=b83ad9b2
English translation: https://www.gutenberg.org/dirs/2/6/6/9/26690/26690-h/26690-h.htm"	
S 102	102	1	MS	FCO d/d	1878	2019	188	series	Records of the Foreign and Commonwealth Office and predecessors	National Archives	Kew	UK										TNA Kew Catalogue			
S 108	108	1	MS	FO d/d	1567	2004	1113	series	Records created or inherited by the Foreign Office	National Archives	Kew	UK										TNA Kew Catalogue			
S 		1	P	Fowler	xxx		1	vols	"A narrative of a Journey across the unesplored portion of British Honduras, with a short sketch of the History and Resources of the Colony"				xxx		1879		H. Fowler					Burdon 3		xxx	
S 110	110	1	P	FSP	1373	1974	170	vols	British and Foreign State Papers				London	UK	1841	1977						Burdon 1		http://id.lib.harvard.edu/alma/99154275019103941/catalog	
S 112	112	1	P	Gage	1625	1637	1	vols	"The English-American, his travail by sea and land"				London	UK	1648							Oxford DNB		http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/english-american-his-travail-sea-land-new-survey/docview/2248525331/se-2?accountid=11311	
S 113	113	1	MS	GC a	1790	1854	16	vols	Grand Court of Assize	Archives and Records Service	Belmopan	Belize										Burdon 1	"Inc Summary Courts in earlier vols /Burdon 1
d = F, T, Q, U, X, AA, BB, CC, DD, EE, FF, GG, HH, II, C1, C2"		
S 124	124	1	MS	"GUATEMALA,a"	1525	1837	971	legajos	Audiencia de Guatemala	Archivo General de Indias	Seville	Spain										PARES	PARES Link: http://pares.mcu.es/ParesBusquedas20/catalogo/search 		
S 125	125	1	P	Haefkens	xxx		1	vols	"Centraal Amerika : uit een geschiedkundig, aardrijkskundig en statistiek oogpunt beschouwd"				Dordrecht	Netherlands	1832							Barke 16 182	"Sp edition by Theodora J. M. van Lottum, Guatemala, Editorial Universitaria, 1969"	Dutch: https://www.google.com/books/edition/Centraal_Amerika/QEwCAAAAYAAJ?hl=en&gbpv=1&printsec=frontcover	
S 127	127	1	S	Hansard	1803	2021	693	issues	Hansard’s Parliamentary Debates				London	UK	1803	2021						UK Parliament		https://hansard.parliament.uk	
S 129	129	1	P	Harlow	1642	1645	1	vols	"Camden Miscellany, volume XIII, The voyages of Captain William Jackson, 1642-5  
"				London	UK	1924							RHS Catalogue	"= Camden Third Series, volume XXXIV /RHS Catalogue Link: https://royalhistsoc.org/publications/camden-series/ "	file:///Users/angelnavidad/Downloads/harlow1924.pdf	
S 131	131	1	S	HC d	1715	2021	xxx		House of Commons Papers				London	UK	1715	2021						ProQuest / UK Parliamentary Papers	Place of publication assumed	https://parlipapers-proquest-com.ezp-prod1.hul.harvard.edu/parlipapers/search/basic/hcppbasicsearch?accountid=11311	
S 132	132	1	P	Henderson	xxx		1	vols	"An account of the British settlement of Honduras : being a view of its commercial and agricultural resources, soil, climate, natural history, &c. : to which are added, sketches of the manners and customs of the Mosquito Indians, preceded by the journal of a voyage to the Mosquito shore ..."				London	UK	1809									https://link.gale.com/apps/doc/CY0102004169/SABN?u=camb55135&sid=SABN&xid=76d2c636	
S 133	133	1	P	Herrera	1492	xxx	4	vols	Historia general de los hechos de los castellanos en las islas i tierra firme del mar oceano 				Madrid	Spain	1601	1615							1730 edition in 8 vols at Gale/Sabin Americana	Gale/Sabin Americana v1: https://link.gale.com/apps/doc/CY0111567515/SABN?u=camb55135&sid=SABN&xid=3acb195c	
S 		1	P	Hodgson	xxx		1	vols	"Some Account of the Mosquito Territory, contained in a Memoir, written in 1757, while that country was in possession of the British"				Edinburgh	UK	1822		R. Hodgson							xxx	
S 135	135	1	P	Hon Alm	1638	1830	5	vols	Honduras Almanack				Belize	Belize	1826	1830						Burdon 1	"1826 Extract Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A145EB27AE90296CD%40EANX-14CA6E8DB2A50AC8%402389038-14CA67053AA11820%403
1829 Link: http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_8627122_000/ldpd_8627122_000.pdf"		
S 136	136	1	P	Honestus	1739	1741	1	vols	"The profit and loss of Great Britain in the present war with Spain : from July 1739, to July 1741 : in a letter to a friend"				London	UK	1741								"Printed for J. Roberts, ..."	https://link.gale.com/apps/doc/U0100790139/MOME?u=camb55135&sid=MOME&xid=a90ee074	
S 138	138	1	MS	"INDIFERENTE,a"	1492	1870	3169	legajos	Indiferente General	Archivo General de Indias	Seville	Spain										PARES			
S 305	305	1	MS	IP	1829	1829	1	vols	Indian Papers	Archives and Records Service	Belmopan	Belize										Burdon 2	"Inc uncompleted, unsigned, undated questionnaire with answers, on the subject of the constitution of the Law Courts, the law, and the Judiciary procedure of the Settlement /Burdon 2"		
S 139	139	1	P	Jam Act d y	1681	1788	7	vols	"Acts of Assembly, passed in the island of Jamaica"				Kingston	Jamaica	1738	1790							"Inc 1681 to 1737 by John Baskett / 1681 to 1754 for Curtis Brett and Co. / 1681 to 1768 by Lowry and Sherlock / 1770 to 1783 for James Jones by Lewis and Eberall / 1681 to 1769 by Alexander Aikman, in 2 vols / 1784 to 1788 by Alexander Aikman"		
S 140	140	1	S	Jam G	1794	2021	xxx		Gazette				Kingston	Jamaica	xxx								"Gazettes 1794–1968 in CO 141
Gazette notices 1718 to c 1755 in Weekly Jamaica Courant / c 1745 to c 1775 in Jamaica Gazette / c 1760 to c 1776 in Kingston Journal / c 1781 to c 1836 in Royal Gazette"		
S 141	141	1	P	Jameson	1638	1772	1	vols	Privateering and Piracy in the Colonial Period				New York	USA	1923								Edited by J. F. Jameson	http://www.gutenberg.org/files/24882/24882-h/24882-h.htm	
S 142	142	1	P	Jarves	xxx		1	vols	"Scenes and Scenery in the Sandwich Islands, and a Trip Through Central America Being Observations from My Note-book During the Years 1837-1842"				Boston	USA	1843									https://www.google.com/books/edition/Scenes_and_Scenery_in_the_Sandwich_Islan/dawbaX-jbt4C?hl=en&gbpv=0	
