Redwoods: R 1—8 / New World redwoods.
ID	NO	ORIGINAL	SUFFIX	DATE	HABITAT /Original	CF	STATUS	KEW	SUFFIX	DATE	CF	RANGE < 1950 DESCENDING /GBIF	NATIVE /RBG KEW	NATIVE ISLANDS? /RBG KEW	NATIVE ISLANDS? /MCJUNKIN	PRECURSOR	CHROMOPHORE	MUNSELL HUES	
		Caesalpinia crista	L.	1753	Zeylona	Species Plantarum 1 p380	Unp					"Asia, Mexico, USA, Belize, Panama, PR "	SE Asia			Brazilin	Brazilein	R – RP	
		Haematoxylum campechianum	L.	1753	Campeche Americes	Species Plantarum 1 p384	Acc					"Mexico, Jamaica, PR, Bahamas, USA, USVI, Cuba, AA, Belize, DR, Asia, Africa"	"SE Mexico, N NE Cen Am"	?	No	Haematoxylin	Haematein	P – PB	
		Caesalpinia sappan	L.	1753	Indiis	Species Plantarum 1 p381	Syn	Biancaea sappan	L.	1875	Hortus Botanicus Panormitanus 1(1) p3	"Asia, Cuba, Africa, USVI"	SE Asia			Brazilin	Brazilein	R – RP	
		Caesalpinia brasiliensis	L.	1753	"Jamaicae, Carolinae collibus"	Species Plantarum 1 p380	Acc						Hispaniola	Yes		Brazilin	Brazilein	R – RP	
		Caesalpinia vesicaria	L.	1753	America calidiore	Species Plantarum 1 p381	Syn	Tara vesicaria	L.	2016	Weberbauerella 1(8) p5	"Mexico, Cuba, Bahamas, Haiti, Jamaica, Nicaragua"	"SE Mexico, NE Cen Am, N NW WI"	Yes		Brazilin	Brazilein	R – RP	
		Caesalpinia echinata	Lam.	1785	"Brésil, dans les bois et parmi les rochers"	Encyclopédie Méthodique 1(2) p461	Syn	Paubrasilia echinata	Lam.	2016	Phytokeys 71 p39	"Brazil, TT"	NE SE Brazil			Brazilin	Brazilein	R – RP	
		Haematoxylum brasiletto	H. Karst.	1859	regiones calidas et aridas montanas ad pedes Andium Columbiae septentrionalis	Florae Columbiae 2 p27	Acc					"Mexico, Nicaragua, Venezuela, Curaçao, Belize, Guatemala"	"Mexico, Cen Am, NE Sth Am"	?	Yes	Brazilin	Brazilein	R – RP	
		Caesalpinia violacea	Standl.	1935		Carnegie Inst. Wash. 461 p61	Syn	Coulteria cubensis	Greenm.	2017	Phytotaxa 291(1) p35	"Mexico, Belize, Cuba, Jamaica"	"SE Mexico, N NE Cen Am, NW WI"	Yes		Brazilin	Brazilein	R – RP	


P estimates: P 1—50 / Pre-censal estimates of population or of proxies for population.
ID	NO	TYPE	LOWER START	PERIOD	PUB	TALLY	PLACE	PLACES	FOR	CF	VIA	NOTE	
P 		O	1 Jan 1757	Jan 1757	15 Jul 1757	30	New	Río Nuevo	Log works	"MEXICO,894,E.3"	Barke 16 182	"Gracias a las declaraciones tomadas a 40 prisioneros se supo de la ubicación de varias rancherías clandestinas de ingleses. El prisionero Guillermo Cothon, aprehendido entres los ríos Valis y Nuevo -a 20 leguas de la villa de Bacalar-, odnde había más de 30 establecimientos. Dijo que era esclavo de un inglés llamado Ricardo Kale y junto con un grupo de 70 u 80 negros se encontraba cortando madera para transportarla en siete piraguas hasta la desembocadura de los ríos y de ahí llevarla a Jamaica. Asimismo, al preguntarle a Miguel Posel, también dijo haber sido capturado en el mismo lugar que su compañero y que él vivía en uno de varios ranchos -alrededor de 30- en el que habitaban 10 u 11 negros esclavos, ... Aseguró que no había ""fortificación alguna""; la que se contruyó en algún momento ya había sido demolida. Declaraciones similares hicieron Joseph Maticos -éste esclavo de don Domingo Alamilla-, Pedro Lafon, Juan Pedro, Diego Nood, un gentil llamado Cristóbal -esclavo de Guillermo Thoker-, Joseph -esclavo de Juan Pitie, Juan -también esclavo de Ricardo Kale- y otros esclavos, ... /v Barke 16 182 /MEXICO,894,E.3"	
P 36	36	P	1 Jan 1757	xxx	15 Jul 1757	"1,500"	Honduras	gulph of Honduras	Men	xxx	"Burke 93
Burdon 1 p93"	"Tally source not certain after perusal of main sources per F. P. Lock, Edmund Burke, Volume I: 1730-1784, Ch 5, DOI: 10.1093/acprof:oso/9780199226634.001.0001, Link: https://oxford-universitypressscholarship-com.ezp-prod1.hul.harvard.edu/view/10.1093/acprof:oso/9780199226634.001.0001/acprof-9780199226634-chapter-5

They [logwood cutters settled upon the gulph of Honduras] go always well armed, and are about one thousand five hundred men /Burke 93

To the Hon. Sir William Burnaby ... The Humble Representation and Petition of the Merchants of Kingston ... The 22 vessels of from 50 to 500 tons burden and the 1,500 logwood cutters are anxious to continue the [logwood] trade but the Gov of Yuc has ordered them [loggers] to leave the Rio Honda, New River, Rowley's Bite and other places, /via Burdon 1 p93 /Adm 1/238 [10 Apr 1764]"	
P 37	37	P	26 Feb 1763	26 Feb 1763	15 Feb 1763	300	Honduras		Whites and slaves	"MEXICO,3099 f 1135"	Contreras 68	"Sum = 300 men in 32 logger companies = 86 log works = 27 sloops, schooners, and some sm boats ≥ 1,000 Pilas"	
P 38	38	P	1 Nov 1763	Nov 1763	12 Mar 1764	300	Hondo	Río Hondo	White and Neg loggers	"MEXICO,3099"	Calderon 199 no 28	"REMIREZ DE ESTENOZ A ARRIAGA, EN MERIDA A 12-3-764. ""... desde el mes de Abril del año pasado de 1763, se hallaba crecido número de ellos [ingleses] establecidos desde el río de Walis hasta río Hondo, ... (después de 8 meses, que con gran libertad disfrutaban el corte y saca de palo particularmente del expresado Río Hondo, que según noticias que adquirió el Comandante de Bacalar, tenía en él 32 ranchos o cuadrillas de gante, que comopndrían 300 hombres entre blancos y negros, 86 barracas entre grandes y pequeñas, establecidos sobre el río, 27 balandras y goletas, algunos pequeños barcos, y que pasaban de 1.000 entre mayores y menores las pilas de palo) /via Calderon 199 no 28 /MEXICO,3099 -- a 12 mar 1764"	
P 		P	1 Apr 1764	Apr 1764	10 Apr 1764	"1,500"	Honduras		Loggers	ADM 1/238 [10 Apr 1764]	Bowett 156	"In 1764 at least 1,500 cutters were working from Belize, providing regular employment for twenty two vessels from 50 to 500 tons burden. /v Bowett 156 /ADM 1/238"	
P 39	39	O	1 Jan 1765	1765	15 Jul 1765	191	"Old, St. George’s"		Craft logging or trading	xxx	Contreras 68 = Florescano y Gil 1976 Discurso sobre la consitución de las provincias de Yucatán y Campeche p214	Sum = 81 fragatas + 40 bergantinas + 20 balandras + 50 goletas y bongos / capacidad de 10 hasta las 36 toneladas cada una de las embarcaciones /via Contreras 68	
P 40	40	O	1 Mar 1767	Mar 1767	11 May 1767	88	Honduras		Craft logging or trading	New-York Gazette 422 p2		"CHARLES-TOWN, (S. Carolina,) April 13, ... Capt. Dawson, who arrived here last Friday [10 Apr 1767] last from the Bay of Honduras, informs, that he left 70 Sail of English Vessels in that Bay, and 18 more were daily expected from Jamaica; "	
P 41	41	P	1 Apr 1771	Apr 1771	11 May 1771	600	Honduras	Walis	English men [fit for combat?]	"MEXICO,3099"	Calderon 215 no 64	"ANTONIO OLIVER A ARRIAGA, EN MERIDA A 11-5-771. ""Habiendo recibido antes de ayer con carta del Comandante del Fuerte de Bacalar la noticia de que los ingleses de Walis tiene formado proyecto de invasión por la inmediata costa del Leste con 600 hombres nacionales, y 300 indios mosquitos, destaqué inmediatamente al Teniente Coronel de Ingenieros D. Juan de Dios González ..."" /via Calderon 215 no 64 /MEXICO,3099 -- a 11 may 1771"	
P 		P	1 Aug 1779	Aug 1779	3 Sep 1779	"3,500"	Honduras		English and Neg	CO 137/75 [3 Sep 1779]	Bolland 75 65	"The English Settlers with their Wives Children and Domesticks, live on St. George's Key, where there is an exceeding good Harbour, at present defenceless ... although this Key is the general place of residence of the Settlers, yet they have Plantations which they visit occasionally, where they employ their Slaves in raising Provisions and cutting Logwood - these Plantations excent along the banks of several Rivers, such as Rio-Honde, New-River, Rowley's-Bight, Northern River, Belize-River, Chaboon River and Manatee Lagoon, for 100 Miles and upwards;- the Banks of the Belize in particular are settled above 200 Miles. The number of English on the Bay may amount to five hundred, 200 of which are able to bear arms; their Slaves of different Ages and Sexes to three thousand, of these there may be 500 to be depended on. The Indians who live near the English are so inconsiderable that it is unnecessary to take any notice of them. /v Bolland 75 65 /CO 137/75 [to Dalling, 3 Sep 1779]"	
P 42	42	P	1 Aug 1779	Aug 1779	28 Aug 1779	700	Honduras		Men fit for combat	CO 137/75	Burdon I p127	"1779, August 28th. Enclosure in Gov. Dalling to Lord George Germain. Reports conference with two Honduras settlers, Capt. Hoare and Dr. Jackson, ... Contains proposals for an expedition against Bacalar. Guns, arms and 100 Regulars to be sent to St. George's Key and to be reinforced there by some 200 Baymen and 500 slaves, with a detachment of Settlers and Indians fromt he Moskito Shore. /via Burdon 1 p127 /CO 137/75"	
P 43	43	P	1 Sep 1779	Sep 1779	xxx	> 300	St. George’s	Cayo Cocinas	Slaves	"MEXICO,3155"	Calderon 246	"Todos los vecinos de esta población [Cayo Cocina] con más de 300 esclavos, ... /via Calderon 246 /MEXICO,3155 [Relación para la Gaceta de las operaciones en Walix durante los meses de octubre y noviembre de 1779]"	
P 44	44	O	1 Sep 1779	Sep 1779	xxx	> 730	Honduras	"río Nuevo, Cayo Cocinas, río Chevun, río del Norte"	Houses	"MEXICO,3155"	Calderon 246	"Los españoles destruyeron [en río Nuevo] enteramente 17 establecimientos de cortes de palo de tinta, y en ellos 338 casas, ... se destruyé [en Cayo Cocinas] a fuego toda la población [de Cayo Cocinas] compuesta de más de 200 casas, que aunque de madera era de no vulgar arquitectura. ... [en río Chevun, Capitán D. José Urrutia dejó] reducidas a cenizas 134 casas. En fin, al restituirse la expedición a Bacalar se incendiaron de 50 a 60 habitaciones de que se componían 3 ranchos que eran los únicos que los ingleses tenían en el río del Norte; con lo que ha quedado la provincia de Campeche enteramente limpia de enemigos. /via Calderon 246 /MEXICO,3155 [Relación para la Gaceta de las operaciones en Walix durante los meses de octubre y noviembre de 1779]"	
P 45	45	P	15 Sep 1779	15 Sep 1779	1 Oct 1779	341 t 391	St. George’s	St. George’s Key	Inhabitants	CO 137/75	Burdon 1 p129	"1779, October 1st. An account of the Spaniards' landing at and taking of St. George's Key by the subscriber (Edward Felix Hill) who was then ont he place and an inhabitant. On Wednesday September 15th, 1779, ... N. B. There were 101 White People on the Key when it was taken and 40 of Mixed colour. [and c 250 mostly house negroes, since Neg slaves that cut logwood were then up the River Belize]. /via Burdon 1 p129 /CO 137/75"	
P 46	46	P	1 Jun 1787	Jun 1787	15 Jul 1788	"1,200"	Honduras		Baymen	Savannah-la-Mar Gazette I 29 p3		"Savanna-la-Mar-Gazette. TUESDAY, JULY 15, 1788. ... The following is a correct statement of the number of people removed from the Musquito-Shore to the Bay of Honduras: Free men, women, and children 535 / Slaves of different sexes 1673 / Which with the old inhabitants of the Bay, numbering about 1200 / Make a total of 3408"	
P 47	47	P	1 Jul 1787	Jul 1787	15 Jul 1788	"2,208"	Honduras		Evacuees from Mosquito Shore	"Savannah-la-Mar Gazette I 29 p3
CO 123/6 [Jul 1787]"	Burdon 1 p162	"Savanna-la-Mar-Gazette. TUESDAY, JULY 15, 1788. ... The following is a correct statement of the number of people removed from the Musquito-Shore to the Bay of Honduras: Free men, women, and children 535 / Slaves of different sexes 1673 / Which with the old inhabitants of the Bay, numbering about 1200 / Make a total of 3408

1787, July. Disposal of Moskito Shore Settlers. States that 537 white and free persons and 1,677 slaves from the Moskito Shore have settled in the Bay territory. /via Burdon 1 p162 /CO 123/6"	
P 48	48	P	1 Aug 1787	Aug 1787	20 Aug 1787	"2,250"	Honduras		Evacuees from Mosquito Shore	"MEXICO,3023 [E. de Grimarest a Sonora, Bacalar a 20 ago 1787]"	Calderon 233	"las familias del territorio de Mosquitos, [siendo] el número de éstas y el de sus negros esclavos a 2.250 personas, ... /via Cardona 326 /MEXICO,3023"	
P 49	49	P	1 Sep 1789	Sep 1789	8 Oct 1789	"3,200"	Honduras		Residents	"MEXICO,3106 [L. Gálvez a A. Valdés, Mérida a 8 oct 1789]"	Calderon 360 no 6	"El ""Informe"" que me ha dado D. Juan Bautista Gual ... es el siguiente: El número de almas en los establecimientos ingleses que acabo de visitar, asciende sobre muy corta diferencia a 3,200, siendo como la quinta parte de ingleses, las tres quintas de negros, y los restantes de mulatos, mestizos y demás castas. Los cortadores o sujetos que son dueños de cortes llegan a 66; a saber: 7 en el Sibún, 38 en el Walix, 1 en Río Norte, 19 en Río Nuevo, inclusos el del Corozal, y el de la Ensenada de la Viuda, y 1 en Río Hondo. Los negros, exceptuando un número muy corto de libres, son todos los demás esclavos. El principal establecimiento es el de la boca de Walix, en donde habitan cerca de 2.000 almas, y allí es el lugar de comercio, de que se provee todo de los establecimientos; pero con el motivo de haber bajado mucho el precio de la caoba y el palo de tinte que son los renglones activos de comercio, padecen una grande inopia al presente de víveres, y ropas; de manera que sólo vi cinco tiendas mestizas, cuyo general valor, aun estimando los géneros en el subido precio a que los venden, ascenderá a 8.000 pesos fuertes; sin que haya otros depósitos, ni almacenes que las referidas tiendas./via Calderon 360 no 6 /MEXICO,3106 [L. Gálvez a A. Valdés, Mérida a 8 oct 1789]"	
P 50	50	P	1 Aug 1790	Aug 1790	8 Sep 1790	"2,997"	Honduras	"Río Subún, Monkey Creek, Río de Walis, Salt Creek, Midwinters Lagoon, Río Norte, Rowleys Bight, Río Nuevo, Laguna Grande o del Tipú"	Residents	"MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 8 sep 1790]"	Calderon 365 no 14	"RELACION GENERAL DE LOS HABITANTES BRITANICOS. ""...Resumen de la Totalidad. Río Subún, Monkey Creek y su Estero: A) Personas libres: ... total 31. B) Esclavos: ... total 141 ... Río de Walis y su Brazo: A) Personas libres ... total 516. B) Esclavos: ... total 1.273. ... Salt Creek, Midwinters Lagoon, Río Norte, Rowleys Bight, Río Nuevo y Laguna Grande o del Tipú: A) Personas libres: ... total 215. B) Esclavos: ... total 821. ... Totales generales: A) Personas libres: 384 hombres, 222 mujeres, 156 niños: total 762. B) Esclavos: 1.256 hombres, 554 mujeres, 413 niños: total, 2.235. ... /via Calderon 365 /MEXICO,3023

EXTRACTO DEL DIARIO DE LLOBET EN BACALAR A 1-5-790. ... El principal establecimiento se halla sobre las dos márgene en la boca del Río Walix compuesto sin plazas, calles, buen orden, ni simetría, de 138 entre casas y chozas. Las 102 son construídas de cuartones bien escuadreados (toda su armadura) y con tablas de pino forman paredes, techos, suelos, y apartamientos. ... Los dueños de corte son en todos 97... Todos éstos por tiempos abastecen sus ranchos conduciendo Pipanes o Cayucos a los ríos Sibún y Valix, harina, vino, aguardiente, carne y puerco salado, y a los demás ríos en Balandras o Goletas sujetos a la infinita lentitud de solos dos remos que las van llevando contra corriente; ... Los otros ranchos no son de cortadores, sus dueños son unos infelices que acomodados a una vida ociosa se mantienen únicamente con plátanos, macales, yuca y otras raíces. ... Hay cuatro tiendas que en ellas se encuentra loza ordinaria, galletas, pólvora, perdigones, bretañas, sarazas bastas, carne salada y otras menudencias, como navajas, agujas, candados, etc. El total valor de las cuatro juzgo será el de 5 a 6.000 pesos. /via Calderon 366 /MEXICO,3023"	
P 51	51	P	1 Nov 1805	Nov 1805	5 Feb 1806	"6,000"	Honduras	Honduras	Residents	ML C [5 Feb 1806]	Burdon 2 90	"5 Feb 1806 Agent in Lon to Magistrates.  Has reported population of Settlement to Board of Trade to be: White Population 150, People of Colour and free Negroes 1050, Men Slaves 3500, Women and Children Slaves 1300, [Total] 6000 /v Burdon 2 /ML C"	


T estimates: T 1—15 / Pre-statistical estimates of trade, wealth, and the like.
ID	NO	TYPE	LOWER START	PERIOD	PUB	TALLY	FOR	TALLY	FOR			CF	VIA	NOTE	
T 1	1	E	25 Mar 1750	25 Mar 1751	21 Apr 1751			"8,000"	Tun of Logwood			CO 137/57 [21 Apr 1751]	Burdon 1 77	"Robert Hodgson, Jamaica, to Mr. Aldworth. There was cut last year in the Bay of Honduras above 8000 Tun of Logwood, sold at an Average in England and elsewhere for at least £20 p. Ton. Total £160,000 a valuable sum ... the Consumption of all Europe, by what I can learn does not exceed 4000 Tun a Year, but the Baymen cut more or less every Year, as they are more or less interrupted, and in proportion to the Demand from the Merchants that Store it, who are now Stocked, I'm told, in England, for two or three years"	
T 		E	1 Jan 1755	Jan—Dec 1755	31 Jul 1784			"13,612"	palo de tinte [toneladas] que se exporto a Jamaica			"SANTA_FE,L.758B [Doc. 46 ... a 31 jul 1784]"	Barke 16 149	"Cantidades de palo de tinte, extraído en el Golfo de Honduras y que se exportó en 1755 a Jamaica. DESTINO DE LA MERCANCÍA Y CANTIDAD EXPORTADA. Jamaica 2,746. Londres 1,785. Sucandina 60. Nueva York 3,750. Filadelfia 300. Río Dailan 1,870. Bristol 400. Segham 420. Holanda 1,771. Boston 810. TOTAL 13,612. /v Barke 16 149 /SANTA_FE,L.758B"	
T 2	2	E	1 Jan 1756	Jan—Dec 1756	10 Feb 1783			"18,000"	Tuns [Logwood]			CO 123/2 [10 Feb 1783]	Burdon 1 p134	"Memorial of His Majesty's Subjects driven from the Bay of Honduras in September 1779 on behalf of themselves and the Merchants formerly Trading to the said Bay. ... Prior to the settlement of his Mejesty's Subjects in the Bay of Honduras the price of Logwood in this Kingdom [Eng or Brit] was from £50 to £60 per Ton. From that time the price continued decreasing until 1749, when it was reduced to £25 per Ton. From 1749 the quantity continued increasing, and the price of course diminishing untill 1756, when they exported from Honduras 18,000 Tons per Annum at £11 per Ton. Lastly form their Re-establishment in the Bay in 1763, their Exportations of this Article became immense, in so much that there were from 40 to 75 Sail of Ships loading Continually in the Bay all year round, untill about the year 1770; during which time the price continued lowering, till it came to about £6 and £5 per Ton. By the foregoing immense exportation of this Article, and its importation into His Majesty’s Dominions the Supplies So far exceeded the home Consumption and all the Demands from abroad, and the Dealers and Speculators were so Overstocked with it, that from 1770 to 1772 there was not above 5 or 6 Sail of Ships loaded at a time, and the whole exportation did not exceed from 5,000 to 6,000 Tons. For the Market price here [Bay?] about 1772 became so low as not to pay the freights and Expences incurred in sending it home. From 1773 the price gradually rose, untill a little before and at the time of the rupture with France, when an extraordinary demand from that Country brought it up to £10 p. Ton. But that demand being answered, it immediately fell; and at the time the rupture with Spain took place, its price was onely £8. 10. p. Ton. ... /via Burdon 1 p134 /CO 123/2"	
T 		E	25 Mar 1765	Mar–Sep 1765	7 Oct 1765	"401,231"	feet of Mahogany	"7,449"	Tons of Logwood			CO 137/62 [7 Oct 1765]	Bolland 75 p59	"It was reported in 1765 that between 25 March and 25 September there was loaded in the Bay '7,449 Tons of Logwood, and 401,231 feet of Mahogany which at £7.10 per Ton for Logwood and ten pence per foot for Mahogany, the Current prices those commoditys bear at present in London, amount to near Seventy three Thousand pounds Sterling.' /v Bolland 75 59 /CO 137/62 [Maud to Littelton 7 Oct 1765]"	
T 3	3	E	1 Jan 1770	Jan 1770—1772	10 Feb 1783			"5,000 t 6,000"	Tons [Logwood]			CO 123/2 [10 Feb 1783]	Burdon 1 p134		
T 4	4	E	1 Jan 1778	Jan—Dec 1778	10 Feb 1783	"70,000"	tons [Mahogany]	"7,000"	tons [Logwood]			CO 123/2 [10 Feb 1783]	Burdon 1 p134	"1783, February 10th. Robert White to Sec. Townsend. ... gives the following figures for the annual timer trade of the Settlement [Hon] :— Logwood ... ... 7,000 tons. Mahogany ... ... 70,000 tons. /via Burdon 1 p135 /CO 123/2"	
T 5	5	E	1 Mar 1784	Mar 1784—1785	8 Sep 1790	"2,000,000"	pies superficiales de caoba	"1,000"	toneladas de palo de tinta			"MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 8 sep 1790]"	Calderon 367	"“deducido de los mejores cálculos que es posible hacer,” in ESTADO DE LAS EXPORTACIONES BRITANICAS EN BELICE, EN MERIDA A 8-9-790, annexed to MEXICO,3023 item"	
T 6	6	E	1 Mar 1785	Mar 1785—1786	8 Sep 1790	"2,500,000"	pies superficiales de caoba	"1,200"	toneladas de palo de tinta			"MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 8 sep 1790]"	Calderon 367	"“deducido de los mejores cálculos que es posible hacer,” in ESTADO DE LAS EXPORTACIONES BRITANICAS EN BELICE, EN MERIDA A 8-9-790, annexed to MEXICO,3023 item"	
T 7	7	E	1 Mar 1786	Mar 1786—1787	8 Sep 1790	"3,000,000"	pies superficiales de caoba	"1,500"	toneladas de palo de tinta			"MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 8 sep 1790]"	Calderon 367	"“deducido de los mejores cálculos que es posible hacer,” in ESTADO DE LAS EXPORTACIONES BRITANICAS EN BELICE, EN MERIDA A 8-9-790, annexed to MEXICO,3023 item"	
T 8	8	E	1 Mar 1787	Mar—Oct 1787	8 Sep 1790	"2,000,000"	pies superficiales de caoba	"1,000"	toneladas de palo de tinta			"MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 8 sep 1790]"	Calderon 367	"“deducido de los mejores cálculos que es posible hacer,” in ESTADO DE LAS EXPORTACIONES BRITANICAS EN BELICE, EN MERIDA A 8-9-790, annexed to MEXICO,3023 item"	
T 9	9	E	1 Oct 1787	Oct 1787—1788	8 Sep 1790	"5,271,275"	pies superficiales de caoba	"1,766"	toneladas de palo de tinta			"MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 8 sep 1790]"	Calderon 367	"“una cuenta exactamente observada,” in ESTADO DE LAS EXPORTACIONES BRITANICAS EN BELICE, EN MERIDA A 8-9-790, annexed to MEXICO,3023 item"	
T 10	10	E	1 Jan 1788	Jan—Dec 1788	8 Oct 1789	"5,500,000"	pies de caoba	"2,000"	toneladas de palo de tinta			"MEXICO,3108 [L. Gálvez a A. Valdés, Mérida a 8 oct 1789]"	Calderon 361	"El año pasado de [17]88 ... salieron para Jamaica y Europa como 50 embarcaciones mayores de 150 toneladas, y como 40 menores, cargadas todas con cinco millones y medio de pies de caoba (cada pie de caoba es un pedazo de madera de un pie de largo, otro de ancho y una pulgada de profundidad) y cerca de 2.000 toneladas de palo de tinte. /via Calderon 361 /MEXICO,3108 [L. Gálvez a A. Valdés, Mérida a 8 oct 1789]"	
T 11	11	E	1 Oct 1788	Oct 1788—1789	8 Sep 1790	"6,054,215"	pies superficiales de caoba	"2,462"	toneladas de palo de tinta			"MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 8 sep 1790]"	Calderon 367	"“una cuenta exactamente observada,” in ESTADO DE LAS EXPORTACIONES BRITANICAS EN BELICE, EN MERIDA A 8-9-790, annexed to MEXICO,3023 item"	
T 12	12	E	1 Jan 1789	Jan—Dec 1789	1 May 1790	"6,200,000"	pies de caoba					"MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 8 sep 1790]"	Calderon 367	"EXTRACTO DEL DIARIO DE LLOBET EN BACALAR A 1-5-790. ... La caoba en el año pasado de [17]89 me aseguran ascendió su extracción dirigida a Jamaica y Europa a 6.200.000 pies ... y que en este año de [17]90 llevan ya remitidos a los mismos destinos 2.647.000. No comercian con otra nación que con la suya, pero no con sus colonos americanos, pues no quieren trato ni comunicación con ellos. /via Calderon 367"	
